Total Value Created:,#N/A,,,,
Total Disbursed:," $ 634,681,561.00 ",,,,
Total Remaining: ,#N/A,,,,
,,,,,
Date, Amount ,Grantee,X (Twitter) ,Link,Why?
12/19/2023,"$1,000,000",Tor Project,@torproject,https://www.torproject.org,"The Tor Project builds free and open source tools that allow millions of people to defend against surveillance and circumvent censorship every day. #StartSmall's generous contribution will help power efforts to modernize the Tor protocol, build innovative anti-censorship tools, and sustain Tor applications."
12/19/2023,"$1,000,000",Signal Technology Foundation,@signalapp,https://signal.org,"Signal is the world’s most widely used private messaging app. Being able to communicate privately is imperative for a liveable future. To deliver on our privacy promises we invest in development that enables Signal to work according to the dominant norms in the messaging ecosystem, without compromising privacy and security. Our goal is to ensure people all over the world can communicate safely, whether discussing the mundanities of everyday life or topics of existential concern."
12/13/2023,"$2,000,000",The David Miranda Institute,,,"The David Miranda Institute is designed to preserve and expand on David Miranda’s legacy. The Institute will oversee, coordinate and grow the two non-profit organizations David co-founded with his husband, Glenn Greenwald (Abrigo HOPE - The Hope Shelter & CRIA de Favela). The Institute will be duly constituted as a Brazil-based NGO, with an American 501(c)(3), Social Good, serving as its sponsor to receive tax-deductible donations in the U.S. Funds will be used to help launch the institute which will coordinate the work between these two NGOs; work to obtain financing to significantly expand their scope, reach, and the range of services they offer; and ultimately spread these life-transforming models to other parts of Rio de Janeiro and then Brazil."
12/1/2023,"$1,500,000",Bitcoin Legal Defense Fund,,bitcoindefense.org,The Bitcoin Legal Defense Fund (BLDF) is a 501(c)(3) non-profit organization committed to supporting the development and advancement of the Bitcoin ecosystem. Funds will be used to provide financial and legal support to the developers and contributors who are working to
11/21/2003,"$200,000",Girls On The Run Montana,@gotrwesternmt,https://www.gotrwesternmt.org,"enhance the security, scalability, and accessibility of the Bitcoin network. With the rapid growth and innovation of the Bitcoin industry, the need for robust legal protections for its developers has become increasingly critical."
11/8/2023,"$10,000,000",Freedom of the Press Foundation,@FreedomofPress,https://freedom.press/,"Freedom of the Press Foundation (FPF) protects and defends public-interest journalism in the 21st century. FPF builds open-source technology tools to further press freedom for all, teaches digital security to protect reporters and whistleblowers, systematically tracks press freedom violations in the United States, and aggressively advocates for the public’s right to know."
10/27/2023,"$250,000",Private School Village,@villageprivate,https://www.privateschoolvillage.org/,"Private School Village (PSV), is a Black-woman-founded, parent-led, voluntary nonprofit that supports Black and brown families in private schools so that students fully thrive. PSV, founded in 2018, is a first-of-its-kind community-based organization that focuses on the social, emotional, and mental health implications related to being enrolled in predominantly white institutions. PSV empowers parent engagement to instill student well-being, normalizes inclusive and equitable communities, and encourages lasting systemic and institutional policy change. In partnership currently with more than 65 greater Los Angeles-based private schools, and primed for national chapter expansion, PSV works to increase racial literacy, socialization, representation, and support related research."
10/25/2023,"$5,000,000",teamopen.tech,@teamopentech,https://teamopen.tech/,"TeamOpen.tech is an open source project of Nos. These funds will help continue to build a revolutionary social network that prioritizes humans over algorithms, emphasizing safety, and promoting intimate, community-focused interactions. Their mission is planetary in scope and personal in impact. They’re crafting tech tools for a radically better world, one that prioritizes social liberation and genuine human connections. In our digital spaces, humans are individuals with infinite potential, not commodities. They’re optimizing for health, choice, and transparency, not engagement and exploitation. "
10/11/2023,"$500,000",Open Web Advocacy,@OpenWebAdvocacy,https://open-web-advocacy.org/,"Open Web Advocacy is dedicated to browser competition and allowing the Web to compete fairly. They work to educate and provide technical advice on the major anti-competitive issues related to browsers/web apps and the promise of a more open and competitive future offered by capable web apps. Though their work, they will increase browser competition, radically lower costs and improve the quality of apps by allowing organizations to effectively harness the power of the Web to reach all of their users on every consumer operating system."
10/10/2023,"$500,000",Aspiration Open Web Advocacy,@OpenWebAdvocacy,https://open-web-advocacy.org/,"Open Web Advocacy is dedicated to browser competition and allowing the Web to compete fairly. We work to educate and provide technical advice on the major anti-competitive issues related to browsers/web apps and the promise of a more open and competitive future offered by capable web apps. Though our work, we will increase browser competition, radically lower costs and improve the quality of apps by allowing organizations to effectively harness the power of the Web to reach all of their users on every consumer operating system."
10/10/2023,"$1,000,000",Deaconess Foundation,@deaconessfound,https://deaconess.org/,Support for the St. Louis City Guaranteed Basic Income (STL GBI) Pilot.
9/18/2023,"$500,000",Ramp Up,@rampur ,https://www.rampur.is/,"Ramp Up is building accessibility ramps across Europe.  After success in Iceland, where they are on track to finish 1500 ramps all around the country, they are starting a pilot program in three European cities in the fall of 2024."
9/7/2023,"$1,000,000",The Internet Archive,@internetarchive ,https://archive.org/,"The Internet Archive is a nonprofit library providing universal access to knowledge available online without ads or tracking; adhering to values that protect the privacy of every patron. With a focus on digitizing and preserving web pages and cultural and historical collections, it ensures researchers, librarians, reporters and citizens around the world have access to a wide variety of information. Like the Internet itself, the Internet Archive is a critical part of the internet infrastructure, and works with over 1000 university and library partners to create a free digital library, accessible to all.  "
8/16/2023,"$1,000,000",‘Āina Momona,@aina_momona ,https://www.kaainamomona.org/,‘Āina Momona is a grassroots-based and Native Hawaiian led organization that focuses on environmental resilience and social justice. This funding will go to support ‘Āina Momona’s Maui wildfire relief efforts by helping support and empower the impacted community as they navigate this tragedy. Funding will also support resilient rebuilding efforts. 
8/16/2023,"$1,000,000",Council for Native Hawaiian Advancement,@hawaiiancouncil,https://www.hawaiiancouncil.org/,"The Kākoʻo Maui Fund is providing resources that can be deployed quickly and efficiently to Hawaiian communities impacted by the Maui wildfires. CNHA is working in close collaboration with state and county leaders, nonprofit organizations, and community members to get an understanding of the quickly evolving priorities. Funding will support evolving needs, including shelter, food, financial assistance, and other services as identified by our partners doing critical work on Maui."
8/16/2023,"$1,000,000",GlobalGiving,@GlobalGiving,https://www.globalgiving.org/projects/hawaii-wildfire-relief-fund/,"GlobalGiving is a trusted nonprofit that supports other nonprofits by connecting them to donors, foundations, and companies.  Funds will support GlobalGiving’s wildfire relief and recovery efforts in Hawai’i.  The Hawai’i Wildfire Relief Fund helps first responders meet survivors' immediate needs for food, fuel, clean water, medicine, and shelter. As needs emerge, the Fund will support longer-term recovery efforts run by local, vetted grassroots organizations in impacted areas, particularly those working with low-income, historically underserved communities."
8/16/2023,"$1,000,000",Hawai’i Community Foundation,@HCFHawaii,https://www.hawaiicommunityfoundation.org/maui-strong,"Hawai‘i Community Foundation is the state’s leading philanthropic organization. With their 105-year history in the community, trusted expertise, and generous support of donors, they are working to solve the state’s most difficult challenges—from affordable housing to fresh water—with the vision of creating a better Hawai‘i. In response to the devasting wildfires on Maui, they are working to support affected communities through the Maui Strong Fund, providing resources for disaster response and recovery."
8/16/2023,"$1,000,000",Hawai'i People’s Fund ,@HI_PeoplesFund,https://www.hawaiipeoplesfund.org/,"Hawaiʻi People’s Fund is mobilizing to help provide immediate relief to those directly impacted by the wildfires on Maui Island.  Hawai'i People’s Fund is dedicated to providing a safe and trusted conduit to move kōkua quickly in support of community, grassroots-based organizers and organizations already engaged in this work, on the ground. "
8/16/2023,"$1,000,000",Maui Food Bank ,@MauiFoodBank,https://mauifoodbank.org/,Maui Food Bank’s mission is to help the hungry in Maui County by collecting and distributing food through community partnerships.  The Maui Food Bank is currently providing meals to displaced Maui residents impacted by the wildfires.
8/16/2023,"$1,000,000",Maui Humane Society ,@MauiHumane,https://www.mauihumanesociety.org/ ,"Maui Humane Society is responding to the devastation of the Lahaina fires by supporting evacuated pet owners with food and supplies, searching the impacted area for surviving animals, and treating burned and injured animals that have been found. "
8/16/2023,"$1,000,000",World Central Kitchen ,@WCKitchen,https://wck.org/news/lahaina-strong,"World Central Kitchen teams are on Maui working with partners to get much-needed meals to evacuees and emergency workers.  WCK’s response in Hawaiʻi is continuing to evolve with the situation—and by working with chefs and residents from impacted communities, WCK will keep adjusting their efforts to meet the changing needs. "
8/15/2023,"$650,000",America SCORES Bay Area,@AmericaSCORESBA,https://www.americascoresbayarea.org/,"America SCORES Bay Area offers free soccer-based programming to low-income youth across the Bay Area. Funding will be used to drive increased enrollment among girls, who often hesitate to participate in organized sport as a result of longstanding stereotypes. Funding will support organizational leaders who will create and implement strategies and opportunities that engage girls, helping SCORES meet its goal of having 50% of all participants identifying as girls."
